,componente_1,componente_2,Kmeans_Clusters
0,-1.0836611639575326,-0.036273781778156086,1
1,-1.0456531183328244,-0.06054746002089911,1
2,-0.8681451424248735,-0.01758143755748389,1
3,-0.5685726505437277,0.136010242061365,1
4,-0.42534551358247363,0.19494942806344437,1
5,-0.2984085275887354,0.18686074476476142,1
6,-1.2477056622785085,0.22157057944841316,1
7,-1.0549123211298248,0.24537980313961075,1
8,-0.972224498404129,0.25604432992135484,1
9,-0.8579130111641453,0.23562938048184154,1
10,-0.27969994688356414,0.31529965408650173,1
11,-0.17630093508999856,0.3701940925244751,1
12,0.02465871335913,-0.285543982589955,0
13,-0.006196463418658638,-0.2927818860084454,0
14,0.17328466019386837,0.22086385651748291,0
15,0.25457316933739704,0.22191164574162286,0
16,0.38425847402141466,-0.26184307585946526,0
17,0.6143907543274255,0.2193504824710768,0
18,-0.24249555001752868,-0.31318254857166894,1
19,0.21490647807527882,-0.2722234511663079,0
20,-0.13244522025519637,-0.5692941768768482,1
21,-0.09689120755368485,-0.5618210197487965,1
22,0.525695294084555,-0.2694843146428498,0
23,0.7260802767387765,-0.2210209094200143,0
24,-0.44864019680650746,-0.25521265713734037,1
25,0.18525844476616155,-0.17986530585074717,0
26,0.2895831687881394,-0.1812155416775767,0
27,0.5416451722977303,0.5761237639180876,0
28,0.7201855443440064,0.407820463087129,0
29,0.6998210921944276,-0.05828920317686621,0
30,-0.31642320527655343,-0.28166299822527985,1
31,0.08648248136134151,-0.248630503602022,0
32,0.28980899804060795,0.24625580651299805,0
33,0.36478099336894254,0.1593557687492227,0
34,0.49176870384187743,0.23003808206931203,0
35,0.6046199318581378,0.31634837877180655,0
36,0.46205628834073287,-0.3216452487894313,0
37,0.8224996474617744,0.3038922238788822,0
38,0.8286299412049328,-0.30272246937556596,0
39,0.8321280604069821,-0.28833043785958157,0
40,1.3281706254800487,0.5530228270947982,0
41,1.3844323995569285,0.5437035966874662,0
42,0.19160136554173354,-0.31712553721129305,0
43,0.44822731100371216,-0.2782889942650587,0
44,0.510889345445622,-0.2960687683304478,0
45,0.5721524384145036,-0.283107478513915,0
46,1.146479637495922,0.5089338764916436,0
47,1.1051126692807123,-0.09114254343723667,0
48,-0.48812971456415805,-0.1150868326113987,1
49,0.11959625534297738,-0.2187801034467177,0
50,0.2144961126591454,0.23245163855323178,0
51,0.24730355396336406,-0.22069912784533813,0
52,0.4060663111005069,0.3014515249053134,0
53,0.3812797878054111,-0.1452512974721056,0
54,-0.8475566760566358,0.06506984042507387,1
55,-0.8204169485812692,0.052064274797288056,1
56,-0.6935596481709893,0.21430886719504272,1
57,-0.5596359187634182,0.186955641745922,1
58,-0.29654000189837687,0.30652384589496534,1
59,-0.17980581524035288,0.3546637531450914,1
60,0.2536668489133772,-0.37854854505922103,0
61,0.5860533814234463,-0.38040498499415903,0
62,0.6942254145507682,-0.35150918202732534,0
63,0.7938800121507358,-0.314310011729607,0
